"","date","england_new_deaths","england_seven_day_average","wales_new_deaths","wales_seven_day_average","scotland_new_deaths","scotland_seven_day_average","northern_ireland_new_deaths","northern_ireland_seven_day_average"
"207","2020-10-10",90,70.2857142857143,3,6.14285714285714,11,6.57142857142857,0,0.428571428571429
"208","2020-10-11",104,77.4285714285714,4,6.28571428571429,11,7.71428571428571,6,1.28571428571429
"209","2020-10-12",97,82.8571428571429,4,5.42857142857143,8,8.57142857142857,5,1.85714285714286
"210","2020-10-13",87,86.4285714285714,8,6,12,9.71428571428571,4,2.28571428571429
"211","2020-10-14",102,89.4285714285714,7,5.42857142857143,6,9.28571428571429,2,2.42857142857143
"212","2020-10-15",124,96,7,5.57142857142857,16,10,4,3
"213","2020-10-16",122,103.714285714286,6,5.57142857142857,20,12,2,3.28571428571429
"214","2020-10-17",162,114,4,5.71428571428571,10,11.8571428571429,3,3.71428571428571
"215","2020-10-18",121,116.428571428571,11,6.71428571428571,22,13.4285714285714,7,3.85714285714286
"216","2020-10-19",159,125.285714285714,13,8,16,14.5714285714286,4,3.71428571428571
"217","2020-10-20",174,137.714285714286,4,7.42857142857143,19,15.5714285714286,3,3.57142857142857
"218","2020-10-21",191,150.428571428571,13,8.28571428571429,11,16.2857142857143,6,4.14285714285714
"219","2020-10-22",187,159.428571428571,28,11.2857142857143,17,16.4285714285714,4,4.14285714285714
"220","2020-10-23",189,169,11,12,18,16.1428571428571,6,4.71428571428571
"221","2020-10-24",171,170.285714285714,15,13.5714285714286,20,17.5714285714286,8,5.42857142857143
"222","2020-10-25",207,182.571428571429,16,14.2857142857143,23,17.7142857142857,6,5.28571428571429
"223","2020-10-26",225,192,15,14.5714285714286,31,19.8571428571429,11,6.28571428571429
"224","2020-10-27",220,198.571428571429,23,17.2857142857143,16,19.4285714285714,10,7.28571428571429
"225","2020-10-28",238,205.285714285714,11,17,29,22,9,7.71428571428571
"226","2020-10-29",250,214.285714285714,21,16,29,23.7142857142857,14,9.14285714285714
"227","2020-10-30",282,227.571428571429,14,16.4285714285714,35,26.1428571428571,9,9.57142857142857
"228","2020-10-31",283,243.571428571429,12,16,24,26.7142857142857,7,9.42857142857143
"229","2020-11-01",288,255.142857142857,28,17.7142857142857,35,28.4285714285714,10,10
"230","2020-11-02",289,264.285714285714,17,18,30,28.2857142857143,5,9.14285714285714
"231","2020-11-03",293,274.714285714286,23,18,35,31,12,9.42857142857143
"232","2020-11-04",278,280.428571428571,22,19.5714285714286,19,29.5714285714286,10,9.57142857142857
"233","2020-11-05",304,288.142857142857,31,21,41,31.2857142857143,7,8.57142857142857
"234","2020-11-06",335,295.714285714286,26,22.7142857142857,27,30.1428571428571,15,9.42857142857143
"235","2020-11-07",335,303.142857142857,15,23.1428571428571,37,32,7,9.42857142857143
"236","2020-11-08",344,311.142857142857,28,23.1428571428571,36,32.1428571428571,10,9.42857142857143
"237","2020-11-09",405,327.714285714286,29,24.8571428571429,42,33.8571428571429,10,10.1428571428571
"238","2020-11-10",320,331.571428571429,28,25.5714285714286,36,34,8,9.57142857142857
"239","2020-11-11",312,336.428571428571,29,26.5714285714286,37,36.5714285714286,13,10
"240","2020-11-12",353,343.428571428571,28,26.1428571428571,32,35.2857142857143,10,10.4285714285714
"241","2020-11-13",359,346.857142857143,30,26.7142857142857,38,36.8571428571429,11,9.85714285714286
"242","2020-11-14",363,350.857142857143,19,27.2857142857143,41,37.4285714285714,13,10.7142857142857
"243","2020-11-15",383,356.428571428571,25,26.8571428571429,35,37.2857142857143,13,11.1428571428571
"244","2020-11-16",359,349.857142857143,23,26,33,36,9,11
